ID,Name,Address,City,State,ZIP ,X,Y,Collection_Date,To_North_AM,To_East_AM,To_South_AM,To_West_AM,To_North_PM,To_East_PM,To_South_PM,To_West_PM,To_Northeast_AM,To_Southeast_AM,To_Southwest_AM,To_Northwest_AM,To_Northeast_PM,To_Southeast_PM,To_Southwest_PM,To_Northwest_PM,Total_AM_Count,Total_PM_Count,Total_Day_Count
101,22nd St & Valencia St,22nd St & Valencia St,San Francisco,CA,94110,-122.421,37.75531,10/23/2018,621,181,177,33,299,47,836,162,NA,NA,NA,NA,NA,NA,NA,NA,1012,1344,2356
102,36th Ave & Cabrillo St,36th Ave & Cabrillo St,San Francisco,CA,94121,-122.496,37.7739,10/23/2018,16,39,15,6,44,24,12,21,NA,NA,NA,NA,NA,NA,NA,NA,76,101,177
103,Martin Luther King Jr Dr & Transverse Dr,Martin Luther King Jr Dr & Transverse Dr,San Francisco,CA,94122,-122.478,37.76596,10/23/2018,71,36,32,22,24,27,95,90,NA,NA,NA,NA,NA,NA,NA,NA,161,236,397
104,Leavenworth St & Turk St,Leavenworth St & Turk St,San Francisco,CA,94102,-122.414,37.7828,10/23/2018,28,18,5,27,96,17,17,134,NA,NA,NA,NA,NA,NA,NA,NA,78,264,342
105,Baker St & Beach St,Baker St & Beach St,San Francisco,CA,94123,-122.447,37.80328,10/30/2018,16,0,11,3,17,0,22,2,NA,NA,NA,NA,NA,NA,NA,NA,30,41,71
106,Pine St & Battery St,Pine St & Battery St,San Francisco,CA,94104,-122.4,37.79226,10/23/2018,3,5,80,45,5,7,229,43,NA,NA,NA,NA,NA,NA,NA,NA,133,284,417
107,Broadway & Sansome St,Broadway & Sansome St,San Francisco,CA,94133,-122.402,37.79845,10/23/2018,58,75,4,8,121,30,7,43,NA,NA,NA,NA,NA,NA,NA,NA,145,201,346
108,Cervantes Blvd & Fillmore St,Cervantes Blvd & Fillmore St,San Francisco,CA,94123,-122.437,37.80276,10/23/2018,9,48,14,25,31,34,32,56,NA,NA,NA,NA,NA,NA,NA,NA,96,153,249
109,Folsom St & Cesar Chavez St,Folsom St & Cesar Chavez,San Francisco,CA,94110,-122.414,37.74827,10/23/2018,91,238,33,42,24,71,132,133,NA,NA,NA,NA,NA,NA,NA,NA,404,360,764
110,Filbert St & Powell St,Filbert St & Powell St,San Francisco,CA,94133,-122.411,37.80117,10/23/2018,7,3,8,4,8,2,17,9,NA,NA,NA,NA,NA,NA,NA,NA,22,36,58
111,Font Blvd & Lake Merced Blvd,Font Blvd & Lake Merced Blvd,San Francisco,CA,94132,-122.485,37.72416,10/23/2018,3,19,8,3,2,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,33,22,55
112,Gennessee St & Hearst Ave,Gennessee St & Hearst Ave,San Francisco,CA,94127,-122.451,37.73066,10/23/2018,19,5,5,10,21,1,4,15,NA,NA,NA,NA,NA,NA,NA,NA,39,41,80
113,Guerrero/Market St & Laguna St,Market St & Laguna St,San Francisco,CA,94102,-122.425,37.77075,10/23/2018,7,599,19,75,6,124,4,1195,NA,NA,NA,NA,NA,NA,NA,NA,700,1329,2029
114,Page St & Webster St,Page St & Webster St,San Francisco,CA,94117,-122.429,37.77325,10/23/2018,7,860,19,19,12,86,25,172,NA,NA,NA,NA,NA,NA,NA,NA,905,295,1200
115,Silver Ave & San Bruno Ave,Silver Ave & San Bruno Ave,San Francisco,CA,94134,-122.406,37.73245,10/23/2018,8,33,8,6,9,14,1,22,NA,NA,NA,NA,NA,NA,NA,NA,55,46,101
116,11th St & Division St,11th St & Division St,San Francisco,CA,94103,-122.411,37.76945,10/23/2018,111,512,98,137,75,115,61,745,NA,NA,NA,NA,NA,NA,NA,NA,858,996,1854
117,Jerrold Ave & Bayshore Blvd,Jerrold Ave & Bayshore Blvd,San Francisco,CA,94124,-122.404,37.74739,10/23/2018,32,0,75,23,31,0,68,69,NA,NA,NA,NA,NA,NA,NA,NA,130,168,298
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
